track,type,nhsrregion,language,glottocode,iso,level,rhythm,melody
84,DANCE,NHS-R15,Kurds,cent1972,ckb,language,,
85,LOVE,NHS-R09,Amhara,amha1245,amh,language,,
86,LOVE,NHS-R11,Iroquois,iroq1247,0,family,,
87,LULLABY,NHS-R19,Haida,nort2983,0,dialect,,
88,DANCE,NHS-R28,Alacaluf,qawa1238,alc,language,,
89,DANCE,NHS-R01,Javaé,java1255,0,dialect,,
90,DANCE,NHS-R25,Central Thai,thai1261,tha,language,,
91,DANCE,NHS-R30,Akan,asan1239,0,dialect,,
92,LOVE,NHS-R24,Andamans,grea1241|jara1244,#N/A,#N/A,,
93,LULLABY,NHS-R06,Emberá,nort2972,emp,language,,
94,LOVE,NHS-R14,Chuuk,chuu1238,chk,language,,
95,LULLABY,NHS-R28,Alacaluf,qawa1238,alc,language,,
96,HEALING,NHS-R02,Copper Inuit,copp1244,0,dialect,,
97,LOVE,NHS-R26,Georgia,imer1248,0,dialect,,
98,DANCE,NHS-R12,Maya (Yucatan Peninsula),yuca1254,yua,language,,
99,LULLABY,NHS-R02,Copper Inuit,copp1244,0,dialect,,
100,LULLABY,NHS-R07,Aymara,cent2142,ayr,language,,
101,LULLABY,NHS-R11,Iroquois,iroq1247,0,family,,
102,HEALING,NHS-R16,Chukchee,chuk1273,ckt,language,,
103,DANCE,NHS-R04,Highland Scots,scot1245,gla,language,,
104,LOVE,NHS-R15,Kurds,cent1972,ckb,language,,
105,LOVE,NHS-R25,Central Thai,thai1261,tha,language,,
106,DANCE,NHS-R16,Chukchee,chuk1273,ckt,language,,
107,HEALING,NHS-R28,Alacaluf,qawa1238,alc,language,,
108,HEALING,NHS-R03,Aranda,aran1263,0,family,,
109,HEALING,NHS-R20,Chachi,chac1249,cbi,language,,
110,DANCE,NHS-R29,Hopi,hopi1249,hop,language,,
111,LULLABY,NHS-R29,Hopi,hopi1249,hop,language,,
112,HEALING,NHS-R07,Aymara,cent2142,ayr,language,,
113,HEALING,NHS-R09,Amhara,amha1245,amh,language,,
114,LULLABY,NHS-R14,Chuuk,chuu1238,chk,language,,
115,DANCE,NHS-R18,Huichol,huic1243,hch,language,,
116,HEALING,NHS-R05,Aka,bamb1264,0,dialect,,
117,LULLABY,NHS-R25,Central Thai,thai1261,tha,language,,
118,LOVE,NHS-R29,Hopi,hopi1249,hop,language,,
